Spain,10,
Japan,10,2
Canada,10,
Brazil,10,
Turkey,10,2
South Korea,10,
United States,10,
Poland,10,
Armenia,10,
Tanzania,7,
Latvia,10,
Uganda,10,
Slovakia,6,
Lithuania,10,
Ukraine,10,
Bulgaria,10,
Sweden,10,
Russia,10,5
Italy,10,
India,10,1
France,10,
Hong Kong,10,
Mexico,10,
Ghana,10,
Pakistan,6,6
Chile,9,
Taiwan,10,2
New Caledonia,1,
Ecuador,10,
Argentina,10,
Guam,10,
Vietnam,10,5
Moldova,10,
Slovenia,5,
Namibia,8,
Dominican Republic,7,
Panama,10,
Thailand,10,8
Brunei,1,
Kazakhstan,10,6
Colombia,10,
Norway,9,
Malaysia,10,
Romania,10,
Australia,10,
Kyrgyzstan,2,
Bangladesh,10,5
Israel,6,
Indonesia,10,2
Ireland,9,
Cambodia,10,
Singapore,10,
Finland,10,
Andorra,3,
Croatia,2,
Belarus,5,
Bosnia and Herzegovina,10,
United Kingdom,10,
Germany,10,3
South Africa,10,
Cayman Islands,9,
Venezuela,9,
Austria,3,
Belgium,10,
Iraq,2,
Bolivia,7,
North Macedonia,2,
Denmark,2,
Paraguay,9,
Albania,10,
Lebanon,2,
Luxembourg,3,
Serbia,10,
Czechia,10,
Georgia,5,
Cyprus,8,
Greece,8,
French Polynesia,2,
Philippines,10,
Portugal,10,
Hungary,1,
Palestine,6,
Saudi Arabia,3,
Qatar,5,
Macao,3,
Switzerland,1,
Kenya,10,
Mali,4,
Azerbaijan,1,
Estonia,6,
China,2,2
Nigeria,3,
Nepal,5,1
Netherlands,10,
Sri Lanka,2,
Angola,5,
Mozambique,8,
Costa Rica,4,
Honduras,3,
Uruguay,4,
Egypt,3,3
Tunisia,1,
Morocco,1,1
Yemen,2,
Somalia,1,
Benin,4,
Nicaragua,2,
